ano,sigla_uf,area_total_plantada
2017,PA,530678
2018,PA,545609
1994,PB,93533
1995,PB,95206
1996,PB,55791
1997,PB,54286
1998,PB,66201
1999,PB,52528
2000,PB,52573
2001,PB,50673
2002,PB,53599
2003,PB,55634
2004,PB,60485
2005,PB,60325
2006,PB,59910
2007,PB,58791
2008,PB,58485
2009,PB,56862
2010,PB,55980
2011,PB,45739
2012,PB,45666
2013,PB,41065
2014,PB,37392
2015,PB,35881
2016,PB,34757
2017,PB,31900
2018,PB,32471
1994,PE,81024
1995,PE,79981
1996,PE,86429
1997,PE,93111
1998,PE,88180
1999,PE,89186
2000,PE,76866
2001,PE,78394
2002,PE,84362
2003,PE,84568
2004,PE,84354
2005,PE,84238
2006,PE,85977
2007,PE,89160
2008,PE,100108
2009,PE,93472
2010,PE,95524
2011,PE,102230
2012,PE,89128
2013,PE,77182
2014,PE,80353
2015,PE,77774
2016,PE,76191
2017,PE,77685
2018,PE,85135
1994,PI,256474
1995,PI,223037
1996,PI,97300
1997,PI,104513
1998,PI,137416
1999,PI,149048
2000,PI,151422
2001,PI,154846
2002,PI,156930
2003,PI,161714
2004,PI,163806
2005,PI,167766
2006,PI,165085
2007,PI,178333
2008,PI,184766
2009,PI,189760
2010,PI,176948
2011,PI,176588
2012,PI,175043
2013,PI,137709
2014,PI,97094
2015,PI,91813
2016,PI,83196
2017,PI,79955
2018,PI,79081
1994,PR,224174
1995,PR,139811
1996,PR,175602
1997,PR,170107
1998,PR,191914
1999,PR,208187
2000,PR,221905
2001,PR,161191
2002,PR,224554
2003,PR,229730
2004,PR,212323
2005,PR,203466
2006,PR,192367
2007,PR,192949
2008,PR,189886
2009,PR,179330
2010,PR,174821
2011,PR,173536
2012,PR,250025
2013,PR,226836
2014,PR,165431
2015,PR,176294
2016,PR,176832
2017,PR,170193
2018,PR,158699
1994,RJ,77510
1995,RJ,63402
1996,RJ,62274
1997,RJ,61010
1998,RJ,58566
1999,RJ,57690
2000,RJ,58470
2001,RJ,55395
2002,RJ,56797
2003,RJ,58306
2004,RJ,57134
2005,RJ,55858
2006,RJ,55318
2007,RJ,51870
2008,RJ,52384
2009,RJ,52189
2010,RJ,50642
2011,RJ,51106
2012,RJ,64663
2013,RJ,63622
2014,RJ,61692
2015,RJ,59093
2016,RJ,57389
